z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
1.073688268661499023e-01,1.172256022691726685e-01,3.592798461914062500e+02,3.677084350585937500e+02,8.728858828544616699e-01,8.933635354042053223e-01
1.078199520707130432e-01,1.177181378006935120e-01,3.523264770507812500e+02,3.595447082519531250e+02,8.559923768043518066e-01,8.735294342041015625e-01
1.082710772752761841e-01,1.182106807827949524e-01,3.431168518066406250e+02,3.513810424804687500e+02,8.336172103881835938e-01,8.536954522132873535e-01
1.087222024798393250e-01,1.187032163143157959e-01,3.351183471679687500e+02,3.432184753417968750e+02,8.141844868659973145e-01,8.338640928268432617e-01
1.091733276844024658e-01,1.191957592964172363e-01,3.274224853515625000e+02,3.350585632324218750e+02,7.954870462417602539e-01,8.140392303466796875e-01
1.096244528889656067e-01,1.196883022785186768e-01,3.185332336425781250e+02,3.269022827148437500e+02,7.738902568817138672e-01,7.942232489585876465e-01
1.100755780935287476e-01,1.201808378100395203e-01,3.113070373535156250e+02,3.187503662109375000e+02,7.563338875770568848e-01,7.744178175926208496e-01
1.105267032980918884e-01,1.206733807921409607e-01,3.024702148437500000e+02,3.106058959960937500e+02,7.348644733428955078e-01,7.546304464340209961e-01
1.109778285026550293e-01,1.211659163236618042e-01,2.943391113281250000e+02,3.024681701660156250e+02,7.151095867156982422e-01,7.348594665527343750e-01
1.114289537072181702e-01,1.216584593057632446e-01,2.868254699707031250e+02,2.943393554687500000e+02,6.968548893928527832e-01,7.151101827621459961e-01
1.118800789117813110e-01,1.221509948372840881e-01,2.779455261230468750e+02,2.862201843261718750e+02,6.752806901931762695e-01,6.953843235969543457e-01
1.123312041163444519e-01,1.226435378193855286e-01,2.705136413574218750e+02,2.781121215820312500e+02,6.572245955467224121e-01,6.756854057312011719e-01
1.127823293209075928e-01,1.231360808014869690e-01,2.620224304199218750e+02,2.700157470703125000e+02,6.365948319435119629e-01,6.560149192810058594e-01
1.132334545254707336e-01,1.236286163330078125e-01,2.538263549804687500e+02,2.619324340820312500e+02,6.166821122169494629e-01,6.363761425018310547e-01
1.136845797300338745e-01,1.241211593151092529e-01,2.464640655517578125e+02,2.538641967773437500e+02,5.987951159477233887e-01,6.167740225791931152e-01
1.141357049345970154e-01,1.246136948466300964e-01,2.376605072021484375e+02,2.458093719482421875e+02,5.774064660072326660e-01,5.972045063972473145e-01
1.145868301391601562e-01,1.251062303781509399e-01,2.300877227783203125e+02,2.377722320556640625e+02,5.590080618858337402e-01,5.776779055595397949e-01
1.150379553437232971e-01,1.255987733602523804e-01,2.219101715087890625e+02,2.297517852783203125e+02,5.391403436660766602e-01,5.581918954849243164e-01
1.154890805482864380e-01,1.260913163423538208e-01,2.137139282226562500e+02,2.217483978271484375e+02,5.192272067070007324e-01,5.387473106384277344e-01
1.159402057528495789e-01,1.265838593244552612e-01,2.064687805175781250e+02,2.137655639648437500e+02,5.016248226165771484e-01,5.193526744842529297e-01
1.163913309574127197e-01,1.270764023065567017e-01,1.978052062988281250e+02,2.058021850585937500e+02,4.805763065814971924e-01,5.000053048133850098e-01
1.168424561619758606e-01,1.275689303874969482e-01,1.901537780761718750e+02,1.978593597412109375e+02,4.619868099689483643e-01,4.807078540325164795e-01
1.172935813665390015e-01,1.280614733695983887e-01,1.822539520263671875e+02,1.899366607666015625e+02,4.427938461303710938e-01,4.614593386650085449e-01
1.177447065711021423e-01,1.285540163516998291e-01,1.741188812255859375e+02,1.820374298095703125e+02,4.230293333530426025e-01,4.422678053379058838e-01
1.181958317756652832e-01,1.290465593338012695e-01,1.669490814208984375e+02,1.741612243652343750e+02,4.056099951267242432e-01,4.231322109699249268e-01
1.186469569802284241e-01,1.295391023159027100e-01,1.584895172119140625e+02,1.663074645996093750e+02,3.850571215152740479e-01,4.040511846542358398e-01
1.190980821847915649e-01,1.300316303968429565e-01,1.508187103271484375e+02,1.584803161621093750e+02,3.664205670356750488e-01,3.850347697734832764e-01
1.195492073893547058e-01,1.305241733789443970e-01,1.431571044921875000e+02,1.506760406494140625e+02,3.478063642978668213e-01,3.660739660263061523e-01
1.200003325939178467e-01,1.310167163610458374e-01,1.351412200927734375e+02,1.429002532958984375e+02,3.283314406871795654e-01,3.471823334693908691e-01
1.204514577984809875e-01,1.315092593431472778e-01,1.278699569702148438e+02,1.351492614746093750e+02,3.106655776500701904e-01,3.283509612083435059e-01
1.209025830030441284e-01,1.320018023252487183e-01,1.198065872192382812e+02,1.274254608154296875e+02,2.910752892494201660e-01,3.095856606960296631e-01
