theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
8.000000000000000000e+00,1.220194031512427557e+02,1.220520429738634363e+02,3.806254159022706141e-01,3.800808728607787401e-01,3.568741991939448610e+01,3.582177833848255943e+01,-2.599021776233823999e+01,2.445609374306192052e+01,4.000000000000000000e+00
8.250000000000000000e+00,1.213582186679109327e+02,1.213880674876230046e+02,3.527268828139991652e-01,3.521090928876134951e-01,3.307165485521416315e+01,3.318550018433678162e+01,-2.394297846978061983e+01,2.281377077245303298e+01,4.000000000000000000e+00
8.500000000000000000e+00,1.206515265796706018e+02,1.206778313200421593e+02,3.251651220028619615e-01,3.244631888010771625e-01,3.048746554286011090e+01,3.057993510893346212e+01,-2.192204624503560950e+01,2.118748318365356198e+01,4.000000000000000000e+00
8.750000000000000000e+00,1.198941156391598497e+02,1.199158641425506033e+02,2.980117645147640215e-01,2.972125016550461463e-01,2.794156810560648907e+01,2.801161835263611977e+01,-1.993257790893146009e+01,1.958120440893826242e+01,4.000000000000000000e+00
9.000000000000000000e+00,1.190796138156854340e+02,1.190954198639789468e+02,2.713365618886591779e-01,2.704237676644980493e-01,2.544050244424990126e+01,2.548683965552580588e+01,-1.797952667619632194e+01,1.799877176686870328e+01,4.000000000000000000e+00
9.250000000000000000e+00,1.182001218874352020e+02,1.182080450086901777e+02,2.452074840802334066e-01,2.441608996563344736e-01,2.299064141842905684e+01,2.301162265962645392e+01,-1.606762576685202504e+01,1.644387408876565360e+01,4.000000000000000000e+00
9.500000000000000000e+00,1.172456932770979989e+02,1.172429466030120579e+02,2.196910127030980431e-01,2.184847837843672536e-01,2.059821834090432802e+01,2.059170574974367796e+01,-1.420137321689630028e+01,1.492004013312256383e+01,4.000000000000000000e+00
9.750000000000000000e+00,1.162035787566490228e+02,1.161860362003141489e+02,1.948527613632694278e-01,1.934530922531761954e-01,1.826938514008748626e+01,1.823252440310420752e+01,-1.238501794378286114e+01,1.343062783078386424e+01,4.000000000000000000e+00
1.000000000000000000e+01,1.150571030041019185e+02,1.150184278660510699e+02,1.707586753632022170e-01,1.691201127045397767e-01,1.601032484423173230e+01,1.593919510940580153e+01,-1.062254711510094296e+01,1.197881439898308464e+01,4.000000000000000000e+00
1.025000000000000000e+01,1.137839523769436454e+02,1.137139668654923241e+02,1.474773230308604466e-01,1.455365948268339538e-01,1.382746641633057472e+01,1.371650091409367533e+01,-8.917674861486153404e+00,1.056758735755554746e+01,4.000000000000000000e+00
1.050000000000000000e+01,1.123535099546321874e+02,1.122349254267278553e+02,1.250843928000556771e-01,1.227496146527251170e-01,1.172790640014494556e+01,1.156887862871937855e+01,-7.273832367355739237e+00,9.199736475691508986e+00,4.000000000000000000e+00
1.075000000000000000e+01,1.107226791198719553e+02,1.105239450291380194e+02,1.036720253268481745e-01,1.008024569142571686e-01,9.720283898969292125e+00,9.500407743168960195e+00,-5.694159365555196750e+00,7.877846672550925966e+00,4.000000000000000000e+00
1.100000000000000000e+01,1.088296251749409009e+02,1.084874498955155673e+02,8.336982419926988741e-02,7.973451572759650274e-02,7.816750538722214259e+00,7.514801065420710025e+00,-4.181497054429960336e+00,6.604291890006649624e+00,4.000000000000000000e+00
1.125000000000000000e+01,1.065868348652337119e+02,1.059567096058603397e+02,6.439755374399759591e-02,5.958121378284343683e-02,6.037911411659115934e+00,5.615397105364316133e+00,-2.738382448301948990e+00,5.381229950659531802e+00,4.000000000000000000e+00
1.150000000000000000e+01,1.038912062978751010e+02,1.025765453693111340e+02,4.721586406883357401e-02,4.037394011798153132e-02,4.426957048801379635e+00,3.805154210133750325e+00,-1.367044164872251333e+00,4.210598409160026812e+00,4.000000000000000000e+00
1.175000000000000000e+01,1.007820033754408797e+02,9.735807754388416413e+01,3.300865250632659120e-02,2.214000646078685339e-02,3.094889604716023701e+00,2.086646449429156114e+00,-6.939964564358810928e-02,3.094111399830951292e+00,4.000000000000000000e+00
1.200000000000000178e+01,9.834374674157933782e+01,8.426309092426932068e+01,2.492958012807779122e-02,4.902622028877121757e-03,2.337396183426008189e+00,4.620612404774356308e-01,1.152946201754828426e+00,2.033257478568216925e+00,4.000000000000000000e+00
1.225000000000000000e+01,9.899237683509562657e+01,9.153077090669083304e+01,2.686250248747624678e-02,1.131911341343880793e-02,2.518626886971961021e+00,1.066801306344271394e+00,2.298700957556377933e+00,1.029298452105832373e+00,4.000000000000000000e+00
1.250000000000000000e+01,1.015163169188064387e+02,9.892278228086325953e+01,3.592059095183184475e-02,2.651019853174483784e-02,3.367912807430519351e+00,2.498527348576095264e+00,3.366883265220846688e+00,8.326918295703711337e-02,4.000000000000000000e+00
