# Field minima and maxima
# Time                	min(U)                	max(U)                
0.002836              	4.79813508227367e-01	2.76086710378247e+00
0.0028365             	4.79739812084612e-01	2.76049999683844e+00
0.002837              	4.79666323110867e-01	2.76013220958487e+00
0.0028375             	4.79593030114184e-01	2.75976376041552e+00
0.002838              	4.79522011976238e-01	2.75939389938086e+00
0.0028385             	4.79460616389939e-01	2.75902345268219e+00
0.002839              	4.79401075577545e-01	2.75865229274798e+00
0.0028395             	4.79354465015445e-01	2.75828060441795e+00
0.00284               	4.79305300173141e-01	2.75790843036392e+00
0.0028405             	4.79254354847565e-01	2.75753583382878e+00
0.002841              	4.79202022219861e-01	2.75716286587491e+00
0.0028415             	4.79148482949629e-01	2.75678956725142e+00
0.002842              	4.79093821119891e-01	2.75641599666954e+00
0.0028425             	4.79037983691544e-01	2.75604220949485e+00
0.002843              	4.78981035418423e-01	2.75566828664689e+00
0.0028435             	4.78923086124502e-01	2.75529404702518e+00
0.002844              	4.78864236549286e-01	2.75491950184456e+00
0.0028445             	4.78804516070959e-01	2.75454474825389e+00
0.002845              	4.78744054933825e-01	2.75416990062993e+00
0.0028455             	4.78683187957536e-01	2.75379556573800e+00
0.002846              	4.78622481572115e-01	2.75341953820783e+00
0.0028465             	4.78562660325066e-01	2.75304228666161e+00
0.002847              	4.78504358946400e-01	2.75266511672186e+00
0.0028475             	4.78448075701525e-01	2.75228711920108e+00
0.002848              	4.78393964543994e-01	2.75190919907915e+00
0.0028485             	4.78342030430441e-01	2.75153176852494e+00
0.002849              	4.78292955610464e-01	2.75115536837954e+00
0.0028495             	4.78239510751803e-01	2.75077929414161e+00
0.00285               	4.78184265997532e-01	2.75039869761854e+00
0.0028505             	4.78128002129025e-01	2.75001593722183e+00
0.002851              	4.78070925532901e-01	2.74963261220031e+00
0.0028515             	4.78009786763221e-01	2.74924942231494e+00
0.002852              	4.77949184228320e-01	2.74886623980583e+00
0.0028525             	4.77886162134499e-01	2.74848306988690e+00
0.002853              	4.77822086516860e-01	2.74809986996269e+00
0.0028535             	4.77755979067485e-01	2.74771660982423e+00
0.002854              	4.77687945800699e-01	2.74733325397598e+00
