time	WettedArea_bottom	maxU
4.71e-05	4.4383149184124e-06	1.3916758991043e-06
4.72e-05	4.438314918413e-06	1.3870307466082e-06
4.73e-05	4.4383149184135e-06	1.3824063166847e-06
4.74e-05	4.4383149184141e-06	1.3778025005195e-06
4.75e-05	4.4383149184146e-06	1.3732191898683e-06
4.76e-05	4.4383149184152e-06	1.3686562770588e-06
4.77e-05	4.4383149184157e-06	1.3641136549401e-06
4.78e-05	4.4383149184163e-06	1.3595912169564e-06
4.79e-05	4.4383149184168e-06	1.3550888571362e-06
4.8e-05	4.4383149184173e-06	1.3506064700714e-06
4.81e-05	4.4383149184179e-06	1.3461439509078e-06
4.82e-05	4.4383149184184e-06	1.3417011953059e-06
4.83e-05	4.438314918419e-06	1.3372780995419e-06
4.84e-05	4.4383149184195e-06	1.3328745604518e-06
4.85e-05	4.43831491842e-06	1.3284904754269e-06
4.86e-05	4.4383149184206e-06	1.3241257424158e-06
4.87e-05	4.4383149184211e-06	1.3197802599141e-06
4.88e-05	4.4383149184216e-06	1.3154539269675e-06
4.89e-05	4.4383149184221e-06	1.3111466431711e-06
4.9e-05	4.4383149184227e-06	1.3068583086674e-06
4.91e-05	4.4383149184232e-06	1.3025888241444e-06
4.92e-05	4.4383149184237e-06	1.2983380908354e-06
4.93e-05	4.4383149184242e-06	1.2941060105135e-06
4.94e-05	4.4383149184247e-06	1.2898924854934e-06
4.95e-05	4.4383149184252e-06	1.2856974186261e-06
4.96e-05	4.4383149184258e-06	1.2815207132956e-06
4.97e-05	4.4383149184263e-06	1.2773622734159e-06
4.98e-05	4.4383149184268e-06	1.2732220034296e-06
4.99e-05	4.4383149184273e-06	1.2690998083066e-06
5e-05	4.4383149184278e-06	1.2649955935394e-06
5.01e-05	4.4383149184283e-06	1.2609092651457e-06
5.02e-05	4.4383149184288e-06	1.2568407296608e-06
5.03e-05	4.4383149184293e-06	1.2527898941399e-06
5.04e-05	4.4383149184298e-06	1.2487566661535e-06
5.05e-05	4.4383149184303e-06	1.244740953787e-06
5.06e-05	4.4383149184308e-06	1.2407426656366e-06
5.07e-05	4.4383149184313e-06	1.2367617108066e-06
5.08e-05	4.4383149184318e-06	1.2327979989117e-06
5.09e-05	4.4383149184323e-06	1.2288514400707e-06
5.1e-05	4.4383149184327e-06	1.2249219449052e-06
5.11e-05	4.4383149184332e-06	1.2210094245389e-06
5.12e-05	4.4383149184337e-06	1.2171137905946e-06
5.13e-05	4.4383149184342e-06	1.2132349551942e-06
5.14e-05	4.4383149184347e-06	1.2093728309591e-06
5.15e-05	4.4383149184352e-06	1.2055273310044e-06
5.16e-05	4.4383149184356e-06	1.2016983689314e-06
5.17e-05	4.4383149184361e-06	1.1978858588309e-06
5.18e-05	4.4383149184366e-06	1.1940897152779e-06
5.19e-05	4.4383149184371e-06	1.1903098533271e-06
5.2e-05	4.4383149184375e-06	1.1865461885137e-06
5.21e-05	4.438314918438e-06	1.1827986368468e-06
5.22e-05	4.4383149184385e-06	1.1790671148096e-06
5.23e-05	4.438314918439e-06	1.1753515393586e-06
5.24e-05	4.4383149184394e-06	1.1716518279186e-06
5.25e-05	4.4383149184399e-06	1.1679678983824e-06
5.26e-05	4.4383149184404e-06	1.1642996691068e-06
5.27e-05	4.4383149184408e-06	1.160647058911e-06
5.28e-05	4.4383149184413e-06	1.1570099870744e-06
5.29e-05	4.4383149184417e-06	1.1533883733332e-06
5.3e-05	4.4383149184422e-06	1.1497821378797e-06
5.31e-05	4.4383149184426e-06	1.1461912013571e-06
5.32e-05	4.4383149184431e-06	1.1426154848601e-06
5.33e-05	4.4383149184436e-06	1.1390549099331e-06
5.34e-05	4.438314918444e-06	1.135509398568e-06
5.35e-05	4.4383149184445e-06	1.1319788732019e-06
5.36e-05	4.4383149184449e-06	1.1284632567136e-06
5.37e-05	4.4383149184454e-06	1.1249624724196e-06
5.38e-05	4.4383149184458e-06	1.1214764440735e-06
5.39e-05	4.4383149184462e-06	1.1180050958623e-06
5.4e-05	4.4383149184467e-06	1.1145483524039e-06
5.41e-05	4.4383149184471e-06	1.1111061387472e-06
5.42e-05	4.4383149184476e-06	1.1076783803665e-06
5.43e-05	4.438314918448e-06	1.1042650031602e-06
5.44e-05	4.4383149184484e-06	1.1008659334487e-06
5.45e-05	4.4383149184489e-06	1.0974810979718e-06
5.46e-05	4.4383149184493e-06	1.0942045357969e-06
5.47e-05	4.4383149184498e-06	1.0914715282115e-06
5.48e-05	4.4383149184502e-06	1.0887470505311e-06
5.49e-05	4.4383149184506e-06	1.0860310769162e-06
5.5e-05	4.438314918451e-06	1.0833235815333e-06
5.51e-05	4.4383149184515e-06	1.0806245385558e-06
5.52e-05	4.4383149184519e-06	1.0779339221671e-06
5.53e-05	4.4383149184523e-06	1.0752517065618e-06
5.54e-05	4.4383149184527e-06	1.0725778659471e-06
5.55e-05	4.4383149184532e-06	1.0699123745431e-06
5.56e-05	4.4383149184536e-06	1.0672552065839e-06
5.57e-05	4.438314918454e-06	1.0646063363194e-06
5.58e-05	4.4383149184544e-06	1.061965738017e-06
5.59e-05	4.4383149184548e-06	1.0593333859602e-06
5.6e-05	4.4383149184553e-06	1.0567092544446e-06
5.61e-05	4.4383149184557e-06	1.0540933177859e-06
5.62e-05	4.4383149184561e-06	1.0514855503224e-06
5.63e-05	4.4383149184565e-06	1.0488859264166e-06
5.64e-05	4.4383149184569e-06	1.0462944204546e-06
5.65e-05	4.4383149184573e-06	1.0437110068492e-06
5.66e-05	4.4383149184577e-06	1.0411356600387e-06
5.67e-05	4.4383149184581e-06	1.0385683544898e-06
5.68e-05	4.4383149184585e-06	1.0360090646977e-06
5.69e-05	4.438314918459e-06	1.0334577651869e-06
5.7e-05	4.4383149184594e-06	1.0309144305123e-06
5.71e-05	4.4383149184598e-06	1.0283790352606e-06
5.72e-05	4.4383149184602e-06	1.0258515540503e-06
5.73e-05	4.4383149184606e-06	1.0233319615338e-06
5.74e-05	4.438314918461e-06	1.0208202323976e-06
5.75e-05	4.4383149184614e-06	1.0183163413629e-06
5.76e-05	4.4383149184618e-06	1.0158202631871e-06
5.77e-05	4.4383149184622e-06	1.0133319726648e-06
5.78e-05	4.4383149184625e-06	1.0108514446276e-06
5.79e-05	4.4383149184629e-06	1.0083786539458e-06
5.8e-05	4.4383149184633e-06	1.0059135755287e-06
5.81e-05	4.4383149184637e-06	1.003456184326e-06
5.82e-05	4.4383149184641e-06	1.0010064553282e-06
5.83e-05	4.4383149184645e-06	9.9856436356673e-07
5.84e-05	4.4383149184649e-06	9.961298841157e-07
5.85e-05	4.4383149184653e-06	9.9370299209287e-07
5.86e-05	4.4383149184657e-06	9.9128366265869e-07
5.87e-05	4.438314918466e-06	9.8887187101827e-07
5.88e-05	4.4383149184664e-06	9.8646759242148e-07
5.89e-05	4.4383149184668e-06	9.8407080216396e-07
5.9e-05	4.4383149184672e-06	9.8168147558812e-07
5.91e-05	4.4383149184676e-06	9.7929958808297e-07
5.92e-05	4.4383149184679e-06	9.7692511508528e-07
5.93e-05	4.4383149184683e-06	9.7455803208019e-07
5.94e-05	4.4383149184687e-06	9.7219831460133e-07
5.95e-05	4.4383149184691e-06	9.6984593823538e-07
5.96e-05	4.4383149184694e-06	9.675008786206e-07
5.97e-05	4.4383149184698e-06	9.6516311144584e-07
5.98e-05	4.4383149184702e-06	9.6283261245063e-07
5.99e-05	4.4383149184706e-06	9.6050935742594e-07
6e-05	4.4383149184709e-06	9.5819332221408e-07
6.01e-05	4.4383149184713e-06	9.558844827094e-07
6.02e-05	4.4383149184717e-06	9.5358281485693e-07
6.03e-05	4.438314918472e-06	9.5128829465513e-07
6.04e-05	4.4383149184724e-06	9.490008981573e-07
6.05e-05	4.4383149184728e-06	9.4672060147073e-07
6.06e-05	4.4383149184731e-06	9.4444738075578e-07
6.07e-05	4.4383149184735e-06	9.4218121222766e-07
6.08e-05	4.4383149184738e-06	9.3992207215688e-07
6.09e-05	4.4383149184742e-06	9.3766993687006e-07
6.1e-05	4.4383149184746e-06	9.3542478274957e-07
6.11e-05	4.4383149184749e-06	9.3318658623455e-07
6.12e-05	4.4383149184753e-06	9.3095532382066e-07
