host,job_id,N,ordering,sigma_max_s_inv,mode,ranks,pressureRelL2_cell_centres,baselineDifference,seconds,max_relative_residual
WSL,,4480,forward,500000,baseline,1,0.0003136420493791267,0.0,0.41728779999539256,
WSL,,4480,forward,500000,baseline,4,0.00031364204945058663,4.912121208248518e-13,0.6552998339757323,
WSL,,4480,forward,500000,submission,1,0.0003136420493791267,0.0,0.4679473330033943,5.162742907455117e-13
WSL,,4480,forward,500000,submission,4,0.00031364204945058663,4.912121208248518e-13,0.655672442051582,5.135370042094565e-13
WSL,,8960,forward,500000,baseline,1,7.844123319378297e-05,0.0,0.5174490410136059,
WSL,,8960,forward,500000,baseline,4,7.84412336759121e-05,1.8488824257906993e-12,0.8552127779694274,
WSL,,8960,forward,500000,submission,1,7.844123319378297e-05,0.0,0.5171608219388872,1.6653794718403017e-12
WSL,,8960,forward,500000,submission,4,7.84412336759121e-05,1.8488824257906993e-12,0.8545307610183954,1.680491684685703e-12
WSL,,8000,forward,10000,baseline,1,0.5188700250145775,0.0,0.5164437119383365,
WSL,,8000,forward,10000,baseline,4,0.5188700250143434,8.620663876481504e-13,0.7520147080067545,
WSL,,8000,forward,10000,submission,1,0.5188700250145775,0.0,0.5151709360070527,1.7611714930347363e-12
WSL,,8000,forward,10000,submission,4,0.5188700250143434,8.620663876481504e-13,0.752145532052964,1.6718461703092588e-11
Lichtenberg,54506190,8000,forward,500000,baseline,1,0.0011632827485215543,0.0,0.8683079320471734,
Lichtenberg,54506190,8000,forward,500000,baseline,8,0.001163282749129096,8.46527076288557e-13,1.5804827640531585,
Lichtenberg,54506190,8000,forward,500000,submission,1,0.0011632827485215543,0.0,1.0706928509753197,2.136264889846141e-11
Lichtenberg,54506190,8000,forward,500000,submission,8,0.001163282749129096,8.46527076288557e-13,2.8545911479741335,1.2332496304812446e-11
Lichtenberg,54506190,8000,reverse,500000,baseline,1,0.004430323508787522,0.0,0.7700953830499202,
Lichtenberg,54506190,8000,reverse,500000,baseline,8,0.004430323508661434,8.189758209208818e-13,1.3701647970592603,
Lichtenberg,54506190,8000,reverse,500000,submission,1,0.004430323508787522,0.0,0.6173164149513468,8.745145764103397e-12
Lichtenberg,54506190,8000,reverse,500000,submission,8,0.004430323508661434,8.189758209208818e-13,1.3668503740336746,8.674597492568733e-12
Lichtenberg,54506190,560,forward,500000,baseline,1,0.01960160535440667,0.0,0.41700979392044246,
Lichtenberg,54506190,560,forward,500000,baseline,8,0.019601605354405846,7.334482546466166e-15,1.1180645920103416,
Lichtenberg,54506190,560,forward,500000,submission,1,0.01960160535440667,0.0,0.4168561539845541,2.3636075704073505e-14
Lichtenberg,54506190,560,forward,500000,submission,8,0.019601605354405846,7.334482546466166e-15,0.9175163200125098,2.4179958172300294e-14
